filename,date,merchant,location,amount,total_with_tip,category,card,notes
IMG_2753.jpg,2025-05-01,Wabi Sabi SF,San Francisco CA,95.40,,Meals,Visa,246 Main St Ste 100
IMG_2796.jpg,2025-05-09,Joy Sushi,San Mateo CA,95.65,113.10,Meals,Visa 2030,M & S Street San Mateo
IMG_3006.jpg,,Jung Ja (Korean BBQ),,200.80,,Meals,Credit,Assorted Marinated Set + Beef Short ribs
IMG_3736.jpg,2025-07-08,Gyu-Kaku,San Mateo CA,302.02,357.12,Meals,Visa 2030,Japanese BBQ - Ultimate AOE
IMG_3743.jpg,2025-07-10,Zhangliang Malatang,San Mateo CA,102.67,,Meals,Chase Visa,Chinese hot pot
IMG_3892.jpg,2025-08-01,Eataly Cucina del Mercato,Las Vegas NV,37.93,,Meals - Travel,Credit,MGM Room 05114 D'angelo Michael
IMG_3933.jpg,2025-08-02,Ramen's Kitchen,Las Vegas NV,108.32,128.32,Meals - Travel,Credit,Las Vegas
IMG_3938.jpg,2025-08-04,Best Friend (Park MGM),Las Vegas NV,143.06,169.06,Meals - Travel,Credit,Room 05114 DANGELO MICHAEL
IMG_3939.jpg,,Restaurant (Las Vegas),,56.55,66.55,Meals - Travel,Credit,Michael D'Angelo signed
IMG_3944.jpg,2025-08-05,PRESS,Las Vegas NV,58.54,,Meals - Travel,Credit,Cafe/coffee - croissants matcha
IMG_4010.jpg,2025-08-06,Bagelmania,Las Vegas NV,65.58,,Meals - Travel,Credit,252 Convention Center Dr
IMG_4045.jpg,2025-08-08,Restaurant (unidentified),,256.26,256.76,Meals - Travel,Credit,Michael D'Angelo signed
IMG_4066.jpg,,Circa Resort Legacy Club,Las Vegas NV,143.56,,Meals - Travel,Credit,Las Vegas rooftop bar
IMG_4067.jpg,,Circa Resort Legacy Club,Las Vegas NV,143.56,,Meals - Travel,Credit,Same receipt duplicate
IMG_4079.jpg,,The Venetian Club,Las Vegas NV,300.00,,Meals - Travel,Credit,Large party - extensive menu
IMG_4125.jpg,,Zhangliang Malatang,San Mateo CA,51.74,,Meals,Credit,UNPAID receipt
IMG_4142.jpg,2025-08-19,Il Pastaio,New York NY,159.01,95.76,Meals - Travel,Visa 2030,206 9th Ave - partial payment
IMG_4143.jpg,2025-08-19,Il Pastaio,New York NY,159.01,95.76,Meals - Travel,Visa 2030,Same receipt duplicate
IMG_4177.jpg,2025-08-21,MOMO noodle,San Francisco CA,43.08,,Meals,Visa 2030,865 Market St SF
IMG_4407.jpg,2025-09-16,SAJJ Mediterranean,San Mateo CA,81.40,,Meals,Credit,251 E 3rd Ave
IMG_4423.jpg,2025-09-25,Dinosaur Bar-B-Que Harlem,New York NY,57.10,,Meals - Travel,Credit,100 W 125th St NYC
IMG_4428.jpg,2025-09-22,Kaz Teriyaki Grill,San Mateo CA,36.03,,Meals,Visa 2030,77 E 4th Ave
IMG_4429.jpg,2025-09-22,Suruki Supermarket,San Mateo CA,11.20,,Groceries,Visa 2030,71 E 4th Ave - hot sauce
IMG_4446.jpg,2025-09-24,SAJJ Mediterranean,San Mateo CA,64.46,,Meals,Credit,251 E 3rd Ave
IMG_4454.jpg,2025-09-30,Suruki Supermarket,San Mateo CA,75.82,,Groceries,Credit,Groceries
IMG_4470.jpg,2025-09-29,Restaurant (Canada),Toronto ON,47.66,,Meals - Travel,Chase Visa,CAD - Toronto trip
IMG_4472.jpg,2025-09-30,PAI Thai,Toronto ON,100.00,,Meals - Travel,Credit,18 Duncan St Toronto
IMG_4492.jpg,,Sushi Restaurant (Toronto),Toronto ON,425.11,,Meals - Travel,Visa 2030,High-end sushi - HST tax
IMG_4510.jpg,2025-10-02,Sultan's Mediterranean Grill,Toronto ON,41.48,,Meals - Travel,Credit,137 Avenue Rd Toronto
IMG_4520.jpg,,Miku Toronto,,200.00,,Meals - Travel,Credit,Japanese restaurant Toronto
IMG_4562.jpg,,Tang Bar,San Mateo CA,56.89,,Meals,Credit,Order #132
IMG_4563.jpg,2025-10-14,Tang Bar,San Mateo CA,72.45,,Meals,Credit,Order #133 - contactless
IMG_4569.jpg,,Restaurant (San Mateo),,1329.77,,Meals,Credit,LARGE party - Michael D'Angelo
IMG_4571.jpg,2025-10-05,Heeretea,San Mateo CA,16.72,,Meals,Visa 2030,253 S B St - boba tea
IMG_4572.jpg,2025-10-13,Zhangliang Malatang,San Mateo CA,106.78,,Meals,Credit,Order #22 - 136 S B St
IMG_4618.jpg,2025-10-23,Tang Bar,San Mateo CA,60.89,,Meals,Credit,Order #135
IMG_4664.jpg,2025-10-21,SAJJ Mediterranean,San Mateo CA,34.37,,Meals,Credit,251 E 3rd Ave
IMG_4665.jpg,2025-10-21,Jeffrey's Hamburgers,San Mateo CA,85.07,,Meals,Visa 2030,42 S B Street
IMG_4668.jpg,2025-10-24,九牛兰州拉面 (San Mateo),San Mateo CA,50.36,,Meals,Credit,Chinese noodles
IMG_4909.jpg,2025-11-28,Arc'teryx,Boston MA,520.31,,Equipment,Visa 2030,302 Newbury St - Atom Jacket
IMG_4910.jpg,2025-11-28,Arc'teryx,Boston MA,520.31,,Equipment,Visa 2030,Same receipt - payment portion
IMG_4911.jpg,2025-11-10,九牛兰州拉面 (San Mateo),San Mateo CA,100.16,,Meals,Visa 2030,Order #2159
IMG_4914.jpg,2025-11-01,Jeffrey's Hamburgers,San Mateo CA,114.75,,Meals,Visa 2030,42 S B Street - Tent #4
IMG_4918.jpg,2025-11-10,Piacra Bar & Osteria,San Mateo CA,228.29,246.39,Meals,Credit,20 N B St - Michael D'Angelo
IMG_4939.jpg,2025-11-16,Tang Bar,San Mateo CA,35.00,,Meals,Credit,Order #140
IMG_4962.jpg,2025-11-24,Tang Bar,San Mateo CA,110.27,,Meals,Visa 2030,Order #161
IMG_4971.jpg,2025-11-09,Gyu-Kaku,San Mateo CA,405.62,479.62,Meals,Credit,Tower Platter - Michael D'Angelo
IMG_5089.jpg,2025-12-08,No.5 House,San Mateo CA,71.03,,Meals,Visa,5 S Ellsworth Ave - Dangelo Michael
